HHX,FMX,FSBALANC
1,1,3
4,1,3
6,1,3
8,1,3
9,1,1
10,1,3
13,1,3
15,1,3
17,1,3
18,1,3
19,1,3
20,1,3
21,1,3
22,1,3
23,1,3
24,1,3
25,1,3
27,1,3
29,1,3
30,1,3
31,1,3
32,1,3
33,1,3
38,1,3
40,1,3
41,1,2
43,1,3
45,1,3
46,1,3
47,1,3
50,1,3
51,1,3
52,1,3
57,1,3
58,1,3
59,1,3
61,1,3
66,1,2
67,1,3
68,1,3
69,1,2
72,1,3
73,1,3
75,1,3
76,1,3
77,1,3
78,1,3
79,1,3
81,1,3
82,1,3
87,1,3
87,2,3
89,1,3
91,1,3
91,2,3
92,1,3
93,1,3
97,1,2
99,1,3
100,1,3
102,1,3
103,1,3
104,1,3
105,1,3
106,1,3
107,1,3
108,1,1
111,1,3
112,1,3
113,1,3
114,1,3
115,1,3
118,1,3
119,1,3
120,1,3
124,1,3
125,1,2
126,1,3
127,1,3
128,1,3
129,1,3
131,1,3
132,1,1
136,1,3
138,1,3
141,1,3
142,1,3
143,1,1
147,1,3
151,1,3
154,1,3
156,1,3
157,1,3
158,1,2
162,1,3
166,1,3
168,1,3
169,1,3
171,1,3
177,1,3
178,1,2
179,1,3
181,1,3
182,1,3
184,1,3
186,1,3
187,1,3
189,1,3
190,1,3
192,1,3
193,1,3
194,1,3
195,1,3
196,1,3
203,1,3
204,1,3
205,1,3
206,1,3
207,1,3
208,1,3
209,1,3
212,1,3
215,1,3
216,1,3
217,1,3
219,1,3
219,2,3
222,1,3
227,1,3
229,1,1
231,1,3
233,1,3
234,1,3
235,1,3
236,1,3
237,1,3
238,1,3
239,1,3
244,1,3
245,1,3
246,1,3
248,1,1
250,1,3
252,1,3
255,1,3
256,1,3
260,1,2
261,1,3
262,1,3
265,1,3
266,1,3
267,1,3
268,1,3
270,1,3
271,1,3
272,1,3
273,1,3
274,1,3
275,1,3
278,1,2
280,1,3
283,1,3
284,1,2
288,1,2
289,1,3
290,1,3
291,1,3
293,1,3
294,1,3
298,1,1
299,1,3
300,1,3
301,1,3
302,1,3
303,1,3
305,1,2
309,1,3
314,1,2
315,1,3
318,1,3
321,1,2
322,1,3
323,1,2
324,1,3
325,1,3
328,1,3
329,1,3
332,1,2
334,1,1
337,1,3
341,1,3
343,1,3
344,1,3
347,1,3
348,1,3
349,1,3
350,1,3
351,1,3
352,1,3
353,1,3
354,1,3
355,1,3
356,1,3
357,1,3
358,1,3
359,1,3
360,1,3
363,1,3
364,1,3
365,1,1
367,1,3
368,1,3
369,1,3
371,1,3
372,1,3
374,1,3
377,1,3
379,1,3
382,1,3
383,1,3
385,1,3
386,1,3
387,1,2
388,1,3
390,1,3
392,1,3
395,1,3
397,1,3
399,1,3
401,1,2
402,1,3
408,1,3
410,1,2
411,1,3
416,1,3
417,1,3
419,1,3
420,1,2
421,1,3
422,1,3
423,1,3
425,1,3
426,1,2
428,1,3
429,1,2
432,1,3
435,1,3
436,1,2
442,1,3
445,1,3
446,1,3
450,1,3
451,1,3
452,1,2
454,1,3
458,1,3
468,1,3
469,1,2
471,1,3
472,1,3
473,1,3
474,1,3
475,1,3
476,1,3
477,1,3
478,1,3
479,1,3
480,1,3
483,1,3
486,1,3
490,1,3
491,1,3
492,1,3
499,1,3
501,1,3
502,1,3
503,1,3
504,1,3
506,1,3
507,1,3
508,1,3
509,1,3
510,1,3
515,1,3
517,1,3
519,1,3
520,1,3
521,1,3
522,1,3
523,1,3
526,1,3
529,1,3
532,1,3
534,1,3
535,1,3
536,1,2
537,1,3
538,1,3
539,1,3
543,1,3
544,1,2
545,1,3
547,1,3
548,1,3
549,1,2
550,1,3
552,1,1
553,1,3
554,1,3
556,1,1
557,1,3
559,1,3
560,1,1
561,1,3
562,1,3
563,1,3
565,1,3
568,1,3
570,1,3
571,1,3
573,1,3
575,1,3
576,1,3
577,1,3
578,1,3
579,1,3
582,1,2
583,1,3
585,1,3
586,1,3
591,1,2
592,1,3
593,1,3
594,1,3
596,1,3
599,1,3
602,1,3
605,1,3
610,1,3
611,1,3
612,1,2
614,1,3
616,1,3
618,1,3
620,1,3
621,1,2
622,1,3
624,1,2
625,1,3
626,1,3
629,1,3
630,1,3
632,1,3
635,1,3
638,1,3
640,1,2
642,1,3
643,1,3
646,1,3
650,1,3
651,1,3
652,1,3
654,1,3
655,1,3
656,1,3
657,1,3
658,1,3
659,1,3
662,1,3
663,1,3
664,1,1
665,1,3
670,1,3
673,1,3
675,1,3
676,1,2
678,1,3
682,1,3
685,1,2
688,1,3
689,1,3
690,1,2
691,1,3
695,1,3
696,1,3
698,1,3
699,1,3
700,1,3
701,1,3
702,1,3
703,1,3
704,1,3
705,1,3
708,1,2
709,1,3
711,1,3
714,1,3
715,1,3
716,1,3
719,1,3
721,1,3
722,1,2
723,1,3
724,1,3
729,1,1
730,1,2
732,1,3
733,1,3
734,1,3
735,1,3
736,1,3
738,1,3
739,1,3
740,1,3
741,1,3
742,1,3
743,1,3
744,1,3
747,1,3
748,1,3
750,1,3
753,1,3
755,1,3
756,1,3
757,1,3
759,1,3
760,1,3
761,1,2
762,1,3
763,1,3
764,1,3
765,1,3
766,1,3
767,1,3
769,1,3
770,1,3
771,1,3
774,1,3
775,1,3
776,1,3
780,1,3
781,1,3
782,1,2
783,1,3
784,1,3
785,1,3
786,1,3
788,1,3
789,1,3
790,1,2
793,1,3
798,1,3
800,1,3
802,1,3
805,1,3
806,1,3
809,1,2
811,1,3
812,1,3
813,1,3
817,1,3
819,1,3
820,1,3
822,1,3
823,1,3
827,1,3
828,1,2
829,1,3
830,1,2
833,1,3
834,1,3
835,1,3
837,1,3
841,1,3
842,1,3
843,1,3
845,1,3
846,1,3
849,1,3
849,2,3
850,1,3
851,1,3
855,1,3
857,1,3
861,1,3
862,1,3
864,1,2
866,1,3
870,1,3
871,1,3
873,1,3
876,1,3
877,1,3
879,1,2
880,1,3
881,1,3
882,1,3
883,1,3
885,1,3
886,1,3
890,1,3
893,1,3
894,1,3
896,1,3
897,1,3
898,1,3
900,1,3
901,1,3
906,1,3
907,1,1
910,1,3
913,1,3
916,1,3
919,1,3
921,1,3
922,1,3
